               Benchmarks,   Total gates (Original),          CNOT (Original), Total gates (Obfuscated),        CNOT (Obfuscated),        Total gates(VOQC),     Total gates (Qiskit),      Total gates (STAQ)

                  adder_8,                      900,                      409,                     7702,                     3081,                     6485,                     7455,                     7455
            barenco_tof_5,                      170,                       72,                     5066,                     1576,                     3943,                     4820,                     4810
               gf2^4_mult,                      225,                       99,                     5264,                     1693,                     4179,                     4998,                     5038
              mod_mult_55,                      119,                       48,                     4379,                     1248,                     3365,                     4158,                     4080
            barenco_tof_4,                      114,                       48,                     4646,                     1388,                     3692,                     4415,                     4381
               csum_mux_9,                      420,                      168,                     5032,                     1566,                     3873,                     4815,                     4731
               gf2^9_mult,                     1095,                      494,                     8063,                     3260,                     6842,                     7824,                     7847
               rc_adder_6,                      200,                       93,                     4709,                     1379,                     3616,                     4476,                     4432
            barenco_tof_3,                       58,                       24,                     3914,                     1004,                     2899,                     3682,                     3651
           barenco_tof_10,                      450,                      192,                     5828,                     1956,                     4771,                     5580,                     5593
               qcla_com_7,                      443,                      186,                     5656,                     1908,                     4536,                     5416,                     5435
                   mod5_4,                       63,                       28,                     3923,                     1010,                     2903,                     3691,                     3656
               gf2^5_mult,                      347,                      154,                     5545,                     1930,                     4510,                     5298,                     5338
               qcla_mod_7,                      884,                      382,                     7631,                     2962,                     6417,                     7401,                     7373
                   tof_10,                      255,                      102,                     4880,                     1504,                     3747,                     4655,                     4642
               gf2^8_mult,                      883,                      405,                     7660,                     3111,                     6471,                     7422,                     7433
               csla_mux_3,                      170,                       80,                     4296,                     1226,                     3307,                     4072,                     4076
               mod_red_21,                      278,                      105,                     5672,                     1969,                     4543,                     5412,                     5431
              vbe_adder_3,                      150,                       70,                     4843,                     1478,                     3832,                     4602,                     4576
               gf2^6_mult,                      495,                      221,                     6597,                     2449,                     5436,                     6354,                     6329
                    tof_3,                       45,                       18,                     3606,                      798,                     2630,                     3355,                     3376
              gf2^16_mult,                     3435,                     1581,                    12741,                     5867,                    11242,                    12483,                    12435
                    tof_4,                       75,                       30,                     3620,                      820,                     2670,                     3375,                     3390
            qcla_adder_10,                      521,                      233,                     5121,                     1635,                     4017,                     4878,                     4848
                    tof_5,                      105,                       42,                     3980,                     1054,                     3036,                     3737,                     3747
               gf2^7_mult,                      669,                      300,                     6933,                     2632,                     5818,                     6694,                     6677
              gf2^10_mult,                     1347,                      609,                     9147,                     3781,                     7710,                     8925,                     8867
         x-6-y-8-layers-7,                     2794,                      672,                    11045,                     4596,                     9679,                    10808,                    10774
         x-5-y-6-layers-7,                     1738,                      420,                     9402,                     3756,                     8101,                     9161,                     9140
         x-4-y-4-layers-3,                      394,                       96,                     6170,                     2184,                     5031,                     5907,                     5912
         x-5-y-6-layers-3,                      742,                      180,                     6280,                     2178,                     5163,                     6038,                     6037
         x-6-y-8-layers-3,                     1192,                      288,                     7209,                     2620,                     5931,                     6976,                     6914
         x-4-y-4-layers-7,                      936,                      224,                     9357,                     3838,                     8014,                     9112,                     9100
       x-10-y-10-layers-7,                     5810,                     1400,                    15026,                     6228,                    13039,                    14788,                    14755
                   IQP-35,                      327,                       74,                     4026,                     1034,                     3051,                     3769,                     3782
                   IQP-15,                      135,                       30,                     3898,                      974,                     2955,                     3647,                     3631
                   IQP-25,                      243,                       56,                     4000,                     1018,                     2988,                     3744,                     3752
                   IQP-30,                      288,                       66,                     3916,                      992,                     3020,                     3657,                     3668
                   IQP-10,                       90,                       20,                     3771,                      872,                     2772,                     3521,                     3515
                   IQP-20,                      210,                       50,                     4031,                      998,                     2975,                     3769,                     3772
